event_type,step_count,episode_reward,robot_x,robot_y,goal_x,goal_y,goal_dist
collision,41,-54.26801877600974,0.6747918727824533,-0.0391850614651401,4.811698243153866,1.4009334175859154,4.380403583110111
collision,48,-55.842000742295625,0.7719677053832447,-0.008354327309768058,4.653985696809435,1.9577793648076436,4.351522191260878
timeout,150,-31.296740861002878,2.352592948180894,-0.07373109124899144,4.04660047840715,1.6859469704917527,2.442565944541707
timeout,150,-36.58729538712188,1.6145161444595482,-0.06936799828666224,4.3541694894404275,1.0139872174977884,2.946075181361177
collision,36,-53.56028355773345,0.47902988892353976,-0.020965495005860858,4.004544966802159,1.3846117380956788,3.7953792857319106
collision,35,-55.245282715150346,0.47146971488238915,-0.004131149718913598,4.206632419834916,1.317770029017229,3.9621790922183564
collision,56,-57.38502480315652,0.6853371390451299,0.165457149085887,4.996203683849048,1.4986225165727647,4.512305426738764
collision,96,-60.469323582079674,1.3006728073343772,0.16350145859127588,4.111927350040263,1.4933593427304643,3.1099315259168714
collision,54,-58.809339555958466,0.694584130098188,-0.03236911104747958,4.99063339688134,1.976537968662123,4.742546463402907
collision,98,-55.64781426675331,1.7637719815091562,-0.05001946238904043,4.646421505929152,1.853338548049158,3.4543364046569187
collision,58,-54.626567109540375,0.8046867553886818,0.08838686495272376,4.0365985354054335,1.3932664282974978,3.48539300920942
timeout,150,-44.686775249567994,2.041770610464656,-0.1381317985554056,4.566055065852493,1.4598838279820407,2.987585304952904
collision,90,-71.40550487812796,1.3337837235730423,0.03382287073210121,4.682495018708554,1.0638846367405232,3.5035545635769036
collision,91,-54.72891121847754,1.3265321504493828,0.06718655000775824,4.3462834375007695,1.4418440872924585,3.3179181997846396
collision,38,-54.61936841382018,0.6739233088038624,0.04092966751990687,4.6285788602065905,1.1379449956305936,4.103991125764067
collision,100,-57.44421131305673,1.5213466209571003,-0.08288056842702743,4.196242084357854,1.5985478972660747,3.1594726498839947
collision,31,-56.09298253360498,0.4656132563309162,0.029271331771366822,4.502667587007988,1.2615656174722178,4.220942652466327
collision,130,-54.55490497423826,1.8561847589599232,-0.04167011276724132,4.871884773050889,1.6056801557041118,3.4363075360073476
collision,55,-58.770304016852776,0.7198805425063078,-0.019308548422547818,4.188654591941559,1.6898898396718387,3.867008215132195
timeout,150,-46.9065374404511,1.821115728133904,0.2855548155819643,4.777610756627541,1.4433686080466788,3.1751213569766303
collision,124,-54.2095187551218,1.6618440100617433,0.17621082918148254,4.825239354457382,1.0209864451432158,3.2742504403706705
collision,94,-58.65033127459649,1.1871017412190144,0.25228797470014375,4.126836153058753,1.4254038211860618,3.165160217339891
collision,60,-54.109898510269815,0.8265626794281932,0.092661613339811,4.040645057111857,1.296974721013028,3.4323017920704753
collision,49,-56.03840058535246,0.6276362228118634,0.020484555588629404,4.032664402550221,1.6989962423851384,3.7962637405118174
collision,44,-57.56856537134194,0.49624633978694865,-0.05729173427574424,4.8356492148760175,1.2709442669794706,4.538130472712493
collision,62,-58.5758361398519,0.6237938336887545,-0.1200625282977397,4.27470462922734,1.883592326752983,4.164586704001794
timeout,150,-36.67044879325862,1.6929497013767794,-0.3829158312974444,4.93193987965228,1.091641882039899,3.5588450127713926
collision,72,-56.720364445654155,0.6809327932683806,-0.03932647726974472,4.582077346852325,1.8029293422889427,4.314259534689066
timeout,150,-34.01189894759881,1.6496107792611336,0.5467026401741362,4.056311663194216,1.0521349784839402,2.459201291747708
collision,67,-55.239406034907596,0.8717214116979796,0.00023282951090752716,4.9689276469770824,1.0671290295420972,4.233835900935575
collision,116,-63.492175197303865,1.387780281873631,0.026000305467852987,4.8804854694977795,1.633956916505322,3.845063587333211
timeout,150,-34.80282503897347,1.7535943836710763,0.13412134239127108,4.402750506566039,1.7688241116982593,3.1129216674133975
collision,90,-57.21888520123337,1.1589537140518602,-0.017844105544478316,4.532180381197423,1.4675430922044757,3.685788012783488
timeout,150,-34.94194558392891,1.976218783756312,0.1477520591019433,4.594241555220768,1.5443335959408346,2.967234945356655
collision,45,-61.1643615487173,0.5481641863375935,-0.04151686996022261,4.09666903133372,1.8656423388203756,4.028541036479289
collision,42,-55.050672202653054,0.5868844148371606,-0.05559303046707178,4.862056266888935,1.13609852981231,4.438155375763325
collision,88,-65.24860979517811,1.1762374628243584,-0.06008991566413694,4.59056826985449,1.5955715630525251,3.794584271292611
collision,109,-60.26132600672798,1.394118582557859,0.17975002646181854,4.382816543063793,1.3908875548067647,3.2247743505085493
collision,60,-57.12742410850319,0.6281693334171504,-0.14917468535374934,4.3662810996137535,1.8866329055065343,4.256523478565793
