event_type,step_count,episode_reward,robot_x,robot_y,goal_x,goal_y,goal_dist
collision,46,-58.31714966705293,0.6393095406277309,-0.015328216052037621,4.979612177355584,1.2464283678059696,4.519984143257118
collision,77,-56.305527400000685,1.822229250707384,0.06304849913405125,4.526015048635715,1.226995948070107,2.9436764946175207
collision,30,-39.27011299936527,2.333966335163863,0.03167334911695785,4.8718634371688845,1.8178482725979537,3.1034404388739003
collision,41,-40.361698977960714,2.804779454551091,-0.04568655848892286,4.269188016601506,1.4449402044427706,2.0896077581629484
collision,33,-34.8128481960788,3.360321482550272,-0.22671377362538167,4.329797988977244,1.751336706184271,2.2028546019174855
timeout,150,-24.502716457823727,5.3678488936166415,-0.8833569481425633,4.690799975157533,1.0091291265220024,2.0099499448458773
collision,50,-44.52705338735447,6.013715888812088,-1.0787171905701713,4.636068019995721,1.924151014346604,3.3038055491439526
collision,35,-45.28977298835791,6.481827548384697,-1.2918790942455771,4.798859630340734,1.7574304757018306,3.482911119528903
collision,92,-72.22813339124424,7.5224141515560365,-1.5832150894670904,4.296410584852521,1.8225870033749558,4.6911178740243855
collision,124,-76.5306555427408,9.427856793379297,-2.0503929433259933,4.792897005841395,1.4994707753621888,5.838183335024011
collision,77,-83.3189380577113,10.343724290958844,-2.3485888140099465,4.76814859483344,1.9221130005075915,7.023242721973069
collision,27,-93.42684354576825,10.768061767619564,-2.467683070895335,4.066273326172244,1.8483983606062595,7.97135667482454
collision,140,-126.86243951716128,12.60690089464842,-3.0349436695077263,4.090717161862608,1.952790042132854,9.869289384185754
collision,55,-120.56615919819305,13.5868672262668,-3.114137288785938,4.280692089499585,1.6408877171263485,10.450605651493863
collision,108,-127.37490659207666,14.958255418235629,-2.8774437978882665,4.855398333203,1.5624732234145549,11.03542407144594
collision,42,-125.45280149344022,15.559885293238787,-2.676434586684149,4.907830143383718,1.3808693017855602,11.3985961310569
collision,124,-156.72838755588026,17.324519529763425,-2.0624726446023884,4.702872697142563,1.2790643737309773,13.056486449742154
collision,70,-149.05456102078125,18.28818547032705,-1.654294091546687,4.98104898319891,1.29546551316662,13.63014905320758
collision,71,-165.00835785421364,19.264193457707968,-1.016065855110292,4.541424286925389,1.4734857991919048,14.93177147881606
collision,56,-175.27993836313055,19.791209191436156,-0.6463527812083898,4.063310829974868,1.420560052988035,15.863130697709787
timeout,150,-158.53392388674285,21.717832700758617,-0.3197172681386708,4.785277176992156,1.1280839125247826,16.99433919939709
collision,51,-209.93106223257377,22.506998537029048,-0.3745383871650456,4.183849601296199,1.0206419068199606,18.376188804367786
collision,122,-227.61322727234216,24.268356493684188,-0.038006083497144315,4.073177341471471,1.3290087056986781,20.241392996131644
collision,105,-239.39660524726696,25.936710960771517,0.10864196005288278,4.2197819903071405,1.7377988237434718,21.777951143179312
collision,93,-252.30272525987738,27.31127152925718,0.19143044806285514,4.824916567652368,1.7221326757718272,22.53839410360025
collision,62,-259.771540716077,28.20772578956129,0.39483451797504765,4.0969648795695575,1.023948009315895,24.118967130533854
timeout,150,-237.6684561684676,29.93963992048497,0.8464288057838197,4.519958869320384,1.8100314039093903,25.437938491749883
collision,111,-295.2036220726844,31.284386369519336,0.6281220562907532,4.14229301600802,1.406933876630835,27.153264618867183
timeout,150,-277.72525184161134,32.3998142844757,0.03610433744528501,4.104481020764943,1.2799756625770484,28.322660545540945
collision,54,-303.7022005897383,32.79688651307647,-0.5583121175397698,4.334746846139054,1.599369066288895,28.543808129107454
collision,53,-301.5372124308806,33.16790406793008,-1.2422778883831214,4.568353423984547,1.6024389959166248,28.740680423181104
timeout,150,-289.34134198068955,33.85306147567595,-3.0381341925396543,4.409448889392378,1.0334209231197629,29.72379321673142
collision,87,-324.5747645304812,34.16429783627712,-4.068259162820425,4.219530647647121,1.4681608166554296,30.45227459764527
timeout,150,-286.68962513380757,33.937320214815415,-6.039168643401369,4.0829972513209585,1.2327302203554038,30.7272047653759
collision,45,-315.05501257342286,33.48169265978134,-6.448841381464599,4.631919329287788,1.3019883443437594,29.87281008976777
collision,129,-323.69978535549546,32.128617086864416,-7.2855632234401595,4.59184895268328,1.8995442755034966,29.028258629184162
timeout,150,-255.21919001198012,30.336758589194122,-7.416374376209888,4.761982217064992,1.329041805359234,27.028716038192886
collision,101,-301.41240281380703,29.741744108974675,-6.9242006894276935,4.101240417101246,1.5208485841233876,26.995449372175315
collision,49,-282.1811452195865,29.64638911879248,-6.382860079406873,4.139529134409863,1.0557279212290802,26.569390239636746
