event_type,step_count,episode_reward,robot_x,robot_y,goal_x,goal_y,goal_dist
collision,42,-53.395050999320084,0.6829983817263522,0.059807405327219815,4.6081860550797575,1.2382687179604754,4.09827638604558
timeout,150,-39.4970857740378,1.2696080953882842,0.056198353617356964,4.872412658975594,1.6856611375725337,3.9541560019428292
timeout,150,-34.560032156829564,1.6341024682894807,0.05965180138780772,4.125624021141582,1.1862276561005105,2.7343834414266417
timeout,150,-34.87391083806731,1.9763754744653845,-0.05271523272008901,4.744555634765407,1.961978366030794,3.423713144632074
timeout,150,-36.42052932271573,1.5817167979045257,0.1279150523416082,4.788783312291193,1.6029352554678749,3.530008530773106
collision,116,-59.73469421540242,1.0395294697102289,-0.15972864312106586,4.902290091421594,1.2585825502227823,4.114915097764281
timeout,150,-35.21738050012377,1.6911505377983262,0.6514329980021736,4.548213810945337,1.9459467198165128,3.1366504941945834
timeout,150,-45.5277870458083,0.8100480000505088,-0.04388876936806192,4.709940180821491,1.3882327259848708,4.154531381406399
