event_type,step_count,episode_reward,robot_x,robot_y,goal_x,goal_y,goal_dist
collision,29,-55.9240672164232,0.4567809386145608,-0.07063021605125068,4.989488280017625,1.580661787903474,4.824126980618778
timeout,150,-33.15716972829692,1.9715179627288706,0.22074048875511543,4.397505288893587,1.9572942575156,2.983459987750477
collision,36,-53.26811304741464,0.5500142420269697,-0.09074671827153866,4.078122121465031,1.1040255313712883,3.724919588054153
collision,29,-53.400116271887285,0.5897936183278266,-0.008959814441979286,4.556149356405291,1.0972466017616838,4.11772637219014
collision,144,-53.11318866571484,2.216032512714165,-0.5275365917036902,4.246778057956487,1.3209122051312352,2.7460317594743904
collision,61,-60.60414088015941,0.800904532601419,-0.017065917285958705,4.480285395533756,1.9929604750932493,4.192618469712416
timeout,150,-36.032717387622945,1.973457977793101,-0.31825317457638236,4.910951419286386,1.8180157758364488,3.63214987952232
collision,128,-58.495448753176504,1.8330909576910903,-0.11431636456305377,4.202981607519415,1.586435881407875,2.917008723730335
collision,63,-56.06869116932487,0.8179893978406905,-0.08647046736826665,4.604364545856325,1.5696452849613984,4.132717767598566
collision,58,-55.995578523530625,0.6248514281616315,0.033213466803249166,4.367400019107079,1.1814435271279622,3.9147288829523115
collision,37,-54.812409370978294,0.49882823630814593,-0.04838115266479734,4.5292917646119415,1.1291038906194126,4.198941209417572
timeout,150,-34.2937519706132,1.744194087645369,0.20750049045146304,4.151283085030872,1.7959011930121132,2.8839372796975864
collision,47,-57.94303974085767,0.646370381170689,0.011830128703259057,4.393223506434775,1.9892098677019505,4.23661881392506
collision,88,-56.3967459005525,1.180186552019534,0.263229570658482,4.4494416506854195,1.287467219441339,3.425943908083891
collision,38,-56.28992286767178,0.5863682353428965,-0.07814850405660513,4.160266332340929,1.5610523982710833,3.9318859604416385
collision,81,-54.427594879407835,1.0889795062114471,0.28165727764980864,4.0077751677920785,1.2775092064466558,3.084005379072857
collision,75,-54.99661525473648,0.9161584598629818,0.0931686561983572,4.080168715910554,1.4893148419097086,3.4583500505661053
collision,39,-56.58564533391684,0.547718022216246,-0.04205474433000544,4.314501056219092,1.8667925387190918,4.2228370055278726
collision,132,-51.86085130709901,1.9826176885074107,-0.16108768283631325,4.3888791373330625,1.4459358922584742,2.893547810390379
collision,36,-57.46281596960563,0.4924523542820904,-0.034820198608525095,4.60968401220812,1.680061044554947,4.460091277449624
collision,104,-62.744361698031604,1.2972917365446968,0.08026550660211505,4.889527818329573,1.5331521864722402,3.874924485950816
collision,34,-57.55279754008504,0.44498668233987904,-0.022704950234741037,4.251388131173192,1.8765278427221226,4.253913162198198
collision,59,-53.057316800291176,0.8749886518828013,-0.06080603128565944,4.014480747786632,1.0023696759548342,3.3146271592305756
collision,40,-58.37357581863524,0.5123874615200659,0.04620054437503046,4.471066127159185,1.710580541383352,4.294333190639466
collision,73,-56.18163494440047,1.0480297349870757,0.05221446695567177,4.7418730851002335,1.2055561040468752,3.8697126026390403
collision,73,-58.91408142071077,0.8542569501252539,-0.06964349386321932,4.224739780522507,1.356171112460864,3.659658700153578
collision,150,-54.57783504151213,2.080798400030153,0.17853686070915997,4.753004938083105,1.8752672407294324,3.1653722947698713
timeout,150,-29.81378894889997,2.1217495160421924,0.2590561218814335,4.124400742617994,1.1825277043206643,2.2053144217726373
collision,124,-55.89849526827661,1.8086455518725117,0.16126205321594358,4.291699368757279,1.1066567965043894,2.6569394946410503
collision,66,-65.59751039160761,1.1388676934239244,0.16423218258055333,4.613402324932434,1.666390754460351,3.785349558577639
timeout,150,-34.9512641576421,2.094028034654976,-0.062418652232380016,4.65649778626508,1.4814267476148608,2.9916065661356996
collision,146,-54.104822967766076,2.0398722028616376,-0.11518744961409741,4.835616661144974,1.5118446697616905,3.234721099801721
timeout,150,-34.5116869438136,1.9810502097900884,0.0018186481257594094,4.68586025947077,1.9652054112411164,3.3422873883659694
timeout,150,-33.34733950028969,1.7791254732883217,0.5684710074089702,4.9029837729144194,1.0538579849970948,3.1613432578818434
collision,78,-61.2253947631889,0.8471574566430872,0.12669443100118696,4.847603832145213,1.409800916641328,4.201182387942695
collision,138,-81.69055270343591,1.8235157197398535,0.057535265886099515,4.783808743789378,1.0596179335163474,3.125300699292987
collision,33,-59.616338681974455,0.5063233852614373,-0.004370041970985342,4.626205945477041,1.2128012432770725,4.295921117478891
timeout,150,-31.217080332354886,1.9683829510004378,0.48561924954834135,4.017462777662968,1.8605994874415128,2.467650459573257
timeout,150,-32.265304885895944,1.8731064738210965,0.5471654343945601,4.5704352759287685,1.699602983547226,2.933205579460228
collision,52,-58.66987498138764,0.6578719892416084,0.0631124801554143,4.244569441645104,1.5551978577996937,3.8846772567689065
collision,35,-54.2622019254577,0.5378366454120915,-0.04497503588046478,4.746088790686894,1.3174754650744434,4.423308432131119
collision,47,-53.48037845705862,0.7504136358629675,-0.05565086317903975,4.5602986197493856,1.0027877938541718,3.954177029565758
